,fecha,SO2,NO2,CO,O3,PM10,PM2.5
161,2017-06-11,0.0044799999999999,0.0420399999999999,0.524,0.0621599999999999,43.28,15.4
162,2017-06-12,0.0050399999999999,0.0337999999999999,0.4679999999999999,0.0711199999999999,55.72,26.32
163,2017-06-13,0.0046399999999999,0.0321199999999999,0.46,0.0572799999999999,49.96,24.04
164,2017-06-14,0.0051199999999999,0.0322399999999999,0.46,0.07076,57.36,29.72
165,2017-06-15,0.0068799999999999,0.0335999999999999,0.54,0.07252,69.64,35.4
166,2017-06-16,0.0081999999999999,0.04228,0.7,0.13484,116.4,69.48
167,2017-06-17,0.0101999999999999,0.0358,0.66,0.1146399999999999,77.32,45.56
168,2017-06-18,0.0087199999999999,0.0374799999999999,0.536,0.0890399999999999,59.6,36.48
169,2017-06-19,0.0074399999999999,0.0564,0.58,0.08284,78.52,45.36
170,2017-06-20,0.0061199999999999,0.0547999999999999,0.604,0.0995199999999999,81.44,44.88
171,2017-06-21,0.0064799999999999,0.0377599999999999,0.492,0.07472,78.96,42.32
172,2017-06-22,0.0052799999999999,0.0362799999999999,0.416,0.0763999999999999,54.28,31.92
173,2017-06-23,0.0062799999999999,0.0509999999999999,0.5479999999999999,0.1066399999999999,71.76,38.68
174,2017-06-24,0.0090399999999999,0.06052,0.632,0.0363999999999999,59.92,32.2
175,2017-06-25,0.0047916666666666,0.0435199999999999,0.6,0.0799599999999999,51.16,32.32
176,2017-06-26,0.0042916666666666,0.0516399999999999,0.608,0.0684399999999999,37.04,24.28
177,2017-06-27,0.0052399999999999,0.0407999999999999,0.532,0.0706799999999999,53.56,36.0
178,2017-06-28,0.0066799999999999,0.0406399999999999,0.556,0.0919599999999999,68.16,45.88
179,2017-06-29,0.0075199999999999,0.0393199999999999,0.616,0.10144,78.08,53.48
180,2017-06-30,0.0048799999999999,0.0368399999999999,0.584,0.0735199999999999,74.08,49.4
181,2017-07-01,0.0059199999999999,0.0337999999999999,0.64,0.0824,73.76,52.28
